out,8.00416e-03,8.21502e-03,8.02001e-03,1.47285e+00
$2,1.27443e+00,1.27443e+00,3.00000e-03,3.00000e-03
b,1.30000e-03,4.40000e+00,1.30000e-03,4.40000e+00
a,2.60000e-03,2.60000e-03,8.80000e+00,8.80000e+00
$3,2.49999e+00,7.06875e-02,2.49999e+00,7.06875e-02
$1,2.00104e-02,2.05376e-02,2.00500e-02,3.68213e+00
